,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
z_subj.7,z_subj,False,False,True,z_subj.7,(),['subj_idx'],False,7,,,,,0.20104456382215774,0.021137168965685408,0.1629423653035652,0.18632285278592287,0.19997897934567657,0.2143987729147321,0.24535001779344148,0.0009016032359107247,0.28868650038437127
z_subj.8,z_subj,False,False,True,z_subj.8,(),['subj_idx'],False,8,,,,,0.5518546974828423,0.023298630619773678,0.5065321202891726,0.5359900608264584,0.5517185341834353,0.5677317884536411,0.5972837580030367,0.0005764239068840988,0.4603906984117583
z_subj.9,z_subj,False,False,True,z_subj.9,(),['subj_idx'],False,9,,,,,0.4092895782257716,0.02814821805204461,0.3550265179155606,0.3906977753158284,0.40900811629124745,0.4268449690040967,0.4649850646797731,0.0008749767785189962,0.38757772472417307
z_subj.10,z_subj,False,False,True,z_subj.10,(),['subj_idx'],False,10,,,,,0.39896075888729854,0.028078141377564998,0.34633601945737363,0.37929484093925586,0.398026860923732,0.41799686427515,0.4559115630919444,0.0007604724194226794,0.3995829372650425
z_subj.11,z_subj,False,False,True,z_subj.11,(),['subj_idx'],False,11,,,,,0.5189718845653615,0.024484426146284672,0.46991277833617917,0.5020937132213898,0.518898933584289,0.5354563445685668,0.5673948326457672,0.00056860232531591,0.4115442643625863
z_subj.12,z_subj,False,False,True,z_subj.12,(),['subj_idx'],False,12,,,,,0.6749732620317157,0.023570337019246258,0.6269149243150454,0.6594871828639729,0.6758151832195599,0.6914339932264134,0.7182968984341906,0.000727471165979973,0.5053447244042448
z_subj.13,z_subj,False,False,True,z_subj.13,(),['subj_idx'],False,13,,,,,0.4350775829056578,0.022890465120972547,0.39160718193311855,0.4193691690116787,0.43482884807884614,0.4504242311113314,0.4790974916524857,0.0005649688675941893,0.37014643910883394
z_subj.14,z_subj,False,False,True,z_subj.14,(),['subj_idx'],False,14,,,,,0.40361228789216885,0.024172075879296772,0.3565232830001474,0.38721758772282766,0.40369825123443914,0.41971999113572167,0.4519250645665502,0.0006611693131243028,0.3646518429322534
z_subj.15,z_subj,False,False,True,z_subj.15,(),['subj_idx'],False,15,,,,,0.5470554965468212,0.023362152268836398,0.5018206031390441,0.5316380371707397,0.5467600966387497,0.5624918690667886,0.5933464949402257,0.0005791418196532377,0.44211343498211664
z_subj.16,z_subj,False,False,True,z_subj.16,(),['subj_idx'],False,16,,,,,0.42226808650663183,0.025436755089898226,0.3733067836029374,0.40481273729076095,0.4222389781998002,0.43941450349702693,0.47212294227550927,0.0006504226688659807,0.3739197195040671
z_subj.17,z_subj,False,False,True,z_subj.17,(),['subj_idx'],False,17,,,,,0.23036298174659797,0.026674197769504422,0.18348347412411392,0.21160367281290413,0.22896124105845772,0.24757875829550652,0.2870738920456337,0.0011849821401662079,0.29903417116322045
z_subj.18,z_subj,False,False,True,z_subj.18,(),['subj_idx'],False,18,,,,,0.46352442020369233,0.023398303712341143,0.41831237113974074,0.44796460620582607,0.46337603424606927,0.4789346355058131,0.5099402682227758,0.0006225128645432282,0.39632376914037576
z_subj.19,z_subj,False,False,True,z_subj.19,(),['subj_idx'],False,19,,,,,0.473177499469519,0.02375143276281353,0.4257848176368741,0.4569129699868449,0.4734268586646331,0.4896298305264934,0.5193264471597094,0.0004912041694149131,0.4314021921397697
z_subj.20,z_subj,False,False,True,z_subj.20,(),['subj_idx'],False,20,,,,,0.23977429033621775,0.0541668710922503,0.14381577731710612,0.2018417936317907,0.23569708942785822,0.271663554086976,0.35857568903176484,0.0018836671798055063,0.44158781602755803
