,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
t_subj.26,t_subj,True,False,True,t_subj.26,(),['subj_idx'],False,26,,,,,,,0.27149494965812665,0.05219457907971699,0.16408623364509603,0.2366805164215568,0.27331259514950335,0.3092284975290177,0.36434327926577037,0.001254493650965065,0.43661945271722225
t_subj.27,t_subj,True,False,True,t_subj.27,(),['subj_idx'],False,27,,,,,,,0.36923793876792843,0.011959345195413907,0.3423904628903088,0.3620734469234954,0.37055713112450883,0.3778319283231535,0.388823844904518,0.00033216128508531834,0.37224575557685474
t_subj.28,t_subj,True,False,True,t_subj.28,(),['subj_idx'],False,28,,,,,,,0.529314500311525,0.011336548624070766,0.5043469146235775,0.5224069316237613,0.5304201649943663,0.5373588977730223,0.5482254174709493,0.00024052884102990457,0.5443110324631578
t_subj.29,t_subj,True,False,True,t_subj.29,(),['subj_idx'],False,29,,,,,,,0.4840742444720432,0.010419440968880124,0.46131495073278206,0.47755282629179624,0.48513514724267054,0.4914681738387099,0.5019233912181844,0.00030091716728804316,0.49253471103787294
t_subj.30,t_subj,True,False,True,t_subj.30,(),['subj_idx'],False,30,,,,,,,0.5577115508598037,0.0161709701335045,0.5211008636138584,0.5478763930001047,0.5594186474710305,0.569521314139157,0.5847197985551241,0.0005348683510626019,0.5787226564409402
t_subj.31,t_subj,True,False,True,t_subj.31,(),['subj_idx'],False,31,,,,,,,0.5709960472633996,0.01219299398437465,0.5447751932296191,0.5635737427198241,0.5718735171277405,0.5796057208510266,0.5921673444468474,0.0003055297473031728,0.5875437631768237
t_subj.32,t_subj,True,False,True,t_subj.32,(),['subj_idx'],False,32,,,,,,,0.6549228316510132,0.020361781076658363,0.6107159646796472,0.6420079121086015,0.6564814491554581,0.6690824175993754,0.6908980929633376,0.0005356694514911596,0.68311725300438
t_subj.33,t_subj,True,False,True,t_subj.33,(),['subj_idx'],False,33,,,,,,,0.5714940494649647,0.016086306984117227,0.5356956298256556,0.561625588844759,0.5730452383275323,0.5831835608329744,0.598500280360903,0.00034511564708421787,0.5897585946493629
t_subj.34,t_subj,True,False,True,t_subj.34,(),['subj_idx'],False,34,,,,,,,0.5292032395132883,0.015069112251161964,0.4951326167447724,0.520279681560474,0.5308548021094944,0.53957631821933,0.5543685630476838,0.00039335662342652436,0.5399563292625115
t_subj.35,t_subj,True,False,True,t_subj.35,(),['subj_idx'],False,35,,,,,,,0.5736873559525394,0.027585586608671053,0.5151815054899732,0.5560458200680911,0.5754694063859467,0.5931371536654428,0.6235869690329956,0.0007838003020922016,0.6224206880846619
t_subj.36,t_subj,True,False,True,t_subj.36,(),['subj_idx'],False,36,,,,,,,0.4682640105519246,0.019818124463775948,0.423618102085481,0.4561386369723004,0.4703796873508885,0.4823461987065627,0.501116236672269,0.00048429770212522267,0.49618162924950643
t_subj.37,t_subj,True,False,True,t_subj.37,(),['subj_idx'],False,37,,,,,,,0.4538740723738543,0.010920616647202718,0.42958752538914247,0.44755450703853833,0.4548348631250807,0.4614060148650778,0.47234494308531255,0.0002772503116056222,0.46754228115168467
t_subj.38,t_subj,True,False,True,t_subj.38,(),['subj_idx'],False,38,,,,,,,0.5570413808153449,0.03679575477999311,0.4784088199423623,0.5341745726156826,0.5597027057507713,0.583077701230797,0.620277960376777,0.0011344951470813943,0.6460066858917607
t_subj.39,t_subj,True,False,True,t_subj.39,(),['subj_idx'],False,39,,,,,,,0.4885257295212599,0.026203280993175895,0.43399980974888486,0.47112776576894366,0.49005238249196675,0.5078518738308756,0.5343852912373522,0.0006935725563326381,0.5547855139801819
z_trans,z_trans,True,False,False,z_trans,(),[],True,,,,,,,,,,,,,,,,-0.23503424512603446
z,z,False,False,False,z,(),[],False,,,,,,,,0.43238429620046603,0.012653307869858387,0.4074712688529123,0.4238464867747477,0.43233366095164966,0.4408774548899707,0.457612713724781,0.0002265028503538956,0.4415104434169602
z_std,z_std,True,False,False,z_std,(),[],False,,,,,,,,0.309237466304745,0.021702829674658315,0.26974289499052784,0.29396484500465364,0.3084583773448816,0.3233794176453484,0.3547359780044038,0.0004452705161657219,0.17849835938387432
z_tau,z_tau,False,False,False,z_tau,(),[],True,,,,,,,,,,,,,,,,31.385679997707086
z_subj_trans.1,z_subj_trans,True,False,True,z_subj_trans.1,(),['subj_idx'],True,1,,,,,,,,,,,,,,,0.07175803712661712
z_subj_trans.2,z_subj_trans,True,False,True,z_subj_trans.2,(),['subj_idx'],True,2,,,,,,,,,,,,,,,-0.12427828878373164
z_subj_trans.3,z_subj_trans,True,False,True,z_subj_trans.3,(),['subj_idx'],True,3,,,,,,,,,,,,,,,-0.5370584173097344
z_subj_trans.4,z_subj_trans,True,False,True,z_subj_trans.4,(),['subj_idx'],True,4,,,,,,,,,,,,,,,-0.2753617066869915
z_subj_trans.5,z_subj_trans,True,False,True,z_subj_trans.5,(),['subj_idx'],True,5,,,,,,,,,,,,,,,-0.17510558898633102
z_subj_trans.6,z_subj_trans,True,False,True,z_subj_trans.6,(),['subj_idx'],True,6,,,,,,,,,,,,,,,-0.015509399306853078
z_subj_trans.7,z_subj_trans,True,False,True,z_subj_trans.7,(),['subj_idx'],True,7,,,,,,,,,,,,,,,-0.1901959117240405
z_subj_trans.8,z_subj_trans,True,False,True,z_subj_trans.8,(),['subj_idx'],True,8,,,,,,,,,,,,,,,-0.6200350536076678
z_subj_trans.9,z_subj_trans,True,False,True,z_subj_trans.9,(),['subj_idx'],True,9,,,,,,,,,,,,,,,-0.14988807930937864
z_subj_trans.10,z_subj_trans,True,False,True,z_subj_trans.10,(),['subj_idx'],True,10,,,,,,,,,,,,,,,-0.47251698061505265
z_subj_trans.11,z_subj_trans,True,False,True,z_subj_trans.11,(),['subj_idx'],True,11,,,,,,,,,,,,,,,-0.18060134233565775
z_subj_trans.12,z_subj_trans,True,False,True,z_subj_trans.12,(),['subj_idx'],True,12,,,,,,,,,,,,,,,-0.3253690699939069
z_subj_trans.13,z_subj_trans,True,False,True,z_subj_trans.13,(),['subj_idx'],True,13,,,,,,,,,,,,,,,-0.29214957197544966
z_subj_trans.14,z_subj_trans,True,False,True,z_subj_trans.14,(),['subj_idx'],True,14,,,,,,,,,,,,,,,-0.33154457392760806
z_subj_trans.15,z_subj_trans,True,False,True,z_subj_trans.15,(),['subj_idx'],True,15,,,,,,,,,,,,,,,-0.2639462373798149
z_subj_trans.16,z_subj_trans,True,False,True,z_subj_trans.16,(),['subj_idx'],True,16,,,,,,,,,,,,,,,-0.5603775928294331
z_subj_trans.17,z_subj_trans,True,False,True,z_subj_trans.17,(),['subj_idx'],True,17,,,,,,,,,,,,,,,-0.5085420995587699
z_subj_trans.18,z_subj_trans,True,False,True,z_subj_trans.18,(),['subj_idx'],True,18,,,,,,,,,,,,,,,-0.446045287060439
z_subj_trans.19,z_subj_trans,True,False,True,z_subj_trans.19,(),['subj_idx'],True,19,,,,,,,,,,,,,,,-0.3155588969831399
z_subj_trans.20,z_subj_trans,True,False,True,z_subj_trans.20,(),['subj_idx'],True,20,,,,,,,,,,,,,,,-0.046471715474049415
z_subj_trans.21,z_subj_trans,True,False,True,z_subj_trans.21,(),['subj_idx'],True,21,,,,,,,,,,,,,,,-0.3059378672279633
z_subj_trans.22,z_subj_trans,True,False,True,z_subj_trans.22,(),['subj_idx'],True,22,,,,,,,,,,,,,,,-0.3094061408021394
z_subj_trans.23,z_subj_trans,True,False,True,z_subj_trans.23,(),['subj_idx'],True,23,,,,,,,,,,,,,,,-0.21785016431760545
z_subj_trans.24,z_subj_trans,True,False,True,z_subj_trans.24,(),['subj_idx'],True,24,,,,,,,,,,,,,,,-0.18421125362796678
z_subj_trans.25,z_subj_trans,True,False,True,z_subj_trans.25,(),['subj_idx'],True,25,,,,,,,,,,,,,,,-0.389514916067547
z_subj_trans.26,z_subj_trans,True,False,True,z_subj_trans.26,(),['subj_idx'],True,26,,,,,,,,,,,,,,,-0.1318713878087351
z_subj_trans.27,z_subj_trans,True,False,True,z_subj_trans.27,(),['subj_idx'],True,27,,,,,,,,,,,,,,,-0.5867002987437625
z_subj_trans.28,z_subj_trans,True,False,True,z_subj_trans.28,(),['subj_idx'],True,28,,,,,,,,,,,,,,,-0.21946863441079204
z_subj_trans.29,z_subj_trans,True,False,True,z_subj_trans.29,(),['subj_idx'],True,29,,,,,,,,,,,,,,,-0.45639339354310016
z_subj_trans.30,z_subj_trans,True,False,True,z_subj_trans.30,(),['subj_idx'],True,30,,,,,,,,,,,,,,,-0.42668428378683765
z_subj_trans.31,z_subj_trans,True,False,True,z_subj_trans.31,(),['subj_idx'],True,31,,,,,,,,,,,,,,,-0.021652944465278625
z_subj_trans.32,z_subj_trans,True,False,True,z_subj_trans.32,(),['subj_idx'],True,32,,,,,,,,,,,,,,,0.1436311386800743
z_subj_trans.33,z_subj_trans,True,False,True,z_subj_trans.33,(),['subj_idx'],True,33,,,,,,,,,,,,,,,0.026959009263490954
z_subj_trans.34,z_subj_trans,True,False,True,z_subj_trans.34,(),['subj_idx'],True,34,,,,,,,,,,,,,,,0.09406471284425151
z_subj_trans.35,z_subj_trans,True,False,True,z_subj_trans.35,(),['subj_idx'],True,35,,,,,,,,,,,,,,,0.13282777859608133
z_subj_trans.36,z_subj_trans,True,False,True,z_subj_trans.36,(),['subj_idx'],True,36,,,,,,,,,,,,,,,-0.3555369679942138
z_subj_trans.37,z_subj_trans,True,False,True,z_subj_trans.37,(),['subj_idx'],True,37,,,,,,,,,,,,,,,-0.23717839646622585
z_subj_trans.38,z_subj_trans,True,False,True,z_subj_trans.38,(),['subj_idx'],True,38,,,,,,,,,,,,,,,0.05226317946564534
z_subj_trans.39,z_subj_trans,True,False,True,z_subj_trans.39,(),['subj_idx'],True,39,,,,,,,,,,,,,,,-0.04483155772916532
z_subj.1,z_subj,False,False,True,z_subj.1,(),['subj_idx'],False,1,,,,,,,0.5917240788819719,0.026070315322119102,0.5397724380468528,0.574080368758054,0.5923429151374713,0.6085652554366884,0.643057164567672,0.0008891445459880938,0.517931815376197
z_subj.2,z_subj,False,False,True,z_subj.2,(),['subj_idx'],False,2,,,,,,,0.48955279355730774,0.02118344575299015,0.45001448379086206,0.47515277789210214,0.4892947268272257,0.5030771623452506,0.5314519090397292,0.00048178829138091427,0.46897035550599314
z_subj.3,z_subj,False,False,True,z_subj.3,(),['subj_idx'],False,3,,,,,,,0.3217235219533194,0.021817615971371888,0.2809143089083388,0.3072359500483407,0.32077479488202226,0.33582840632825983,0.36736565168171925,0.0007203602101015626,0.36887213430101723
z_subj.4,z_subj,False,False,True,z_subj.4,(),['subj_idx'],False,4,,,,,,,0.43047086696525294,0.02892714981593546,0.37623975991091835,0.41028028951985707,0.42983009594706945,0.45038784689807954,0.4862415985385097,0.0009262340630717825,0.4315912803532193
z_subj.5,z_subj,False,False,True,z_subj.5,(),['subj_idx'],False,5,,,,,,,0.5051345459864948,0.024975777969905417,0.4574928063948731,0.4878268612490023,0.5045313820707514,0.5223468782895762,0.5538548014304877,0.000621598769961689,0.4563351167138727
z_subj.6,z_subj,False,False,True,z_subj.6,(),['subj_idx'],False,6,,,,,,,0.5563638306987898,0.022524296838523687,0.5135409932639226,0.5412499587055386,0.5563022213510699,0.5720154713439093,0.6003000087394118,0.0006197383358043274,0.49612272789336853
z_subj.7,z_subj,False,False,True,z_subj.7,(),['subj_idx'],False,7,,,,,,,0.47480875569910325,0.021811712075888723,0.4327648063364604,0.4601243864031485,0.474450799868801,0.48935855108798687,0.518940969295082,0.00047559103975432,0.45259384375623096
