,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
z_subj.1,z_subj,False,False,True,z_subj.1,(),['subj_idx'],False,1,,,,,,,0.6392120200870247,0.022967345851257138,0.593417107225156,0.6241332327007038,0.6392592685511601,0.6547219377933492,0.6846384286015029,0.0006914916053136704,0.5580354439960088
z_subj.2,z_subj,False,False,True,z_subj.2,(),['subj_idx'],False,2,,,,,,,0.4921997002820776,0.020382169772648825,0.4519713989459743,0.47848015420951023,0.4918852426813923,0.5057434867683511,0.5330567102002044,0.00040739975190542,0.49680387958142536
z_subj.3,z_subj,False,False,True,z_subj.3,(),['subj_idx'],False,3,,,,,,,0.29927441002925914,0.02046067359902191,0.2593869672878883,0.2858711105977183,0.2988959416814776,0.3127512314256243,0.33967039482575706,0.0005741995616251844,0.4058762684716666
z_subj.4,z_subj,False,False,True,z_subj.4,(),['subj_idx'],False,4,,,,,,,0.39605002099079356,0.026200481907106048,0.3453153501661325,0.37882852575302567,0.3958366060002479,0.41293338615880076,0.44870355636413023,0.0007417303794264524,0.4641131541868489
z_subj.5,z_subj,False,False,True,z_subj.5,(),['subj_idx'],False,5,,,,,,,0.46133109050484233,0.023947387123826967,0.41404222509238875,0.445673769019172,0.46103012178326624,0.4769668617817324,0.5104416070188385,0.0005699717000919631,0.4885641105998402
z_subj.6,z_subj,False,False,True,z_subj.6,(),['subj_idx'],False,6,,,,,,,0.5498940594160322,0.021304333855591467,0.5070673536431359,0.5360018105592043,0.5499403443662073,0.5643434595506819,0.5918543409442735,0.0004258465574549946,0.5320751651570301
z_subj.7,z_subj,False,False,True,z_subj.7,(),['subj_idx'],False,7,,,,,,,0.4789340938881877,0.021110614731435603,0.43777613499958007,0.4648050203961426,0.4783976291563172,0.4930677846260718,0.5212551008901508,0.0004891862087078918,0.4870959214703573
z_subj.8,z_subj,False,False,True,z_subj.8,(),['subj_idx'],False,8,,,,,,,0.2353826652883797,0.01639511944006957,0.20395227922134662,0.2243505469978793,0.23496121880824955,0.24597039385678135,0.2693474408913046,0.0005115356627080244,0.38476799650813465
z_subj.9,z_subj,False,False,True,z_subj.9,(),['subj_idx'],False,9,,,,,,,0.4892684046865306,0.02015214152223575,0.44923077599583816,0.4756394518382878,0.48930435728181787,0.5027818951033696,0.5286003419158505,0.0004081424968734872,0.4932708674288181
z_subj.10,z_subj,False,False,True,z_subj.10,(),['subj_idx'],False,10,,,,,,,0.24682358023379772,0.0199764966605457,0.20870340197369436,0.23279132912618022,0.2465884979925428,0.26048154628906506,0.2870710974517669,0.0007306346195846803,0.41428976601745837
