subj_idx,response,rt,gain,loss
3,0,0.899905,20,-50
3,1,1.179771,70,-10
3,0,1.450406,20,-20
3,0,1.163293,100,-90
3,0,1.001351,80,-90
3,0,4.340503,20,-40
3,1,1.067286,80,-10
3,0,2.331857,80,-70
3,0,1.251317,20,-70
3,0,0.86936,20,-30
3,0,1.421657,60,-50
3,0,1.12857,50,-30
3,0,8.750902,70,-80
3,0,1.620506,30,-40
3,1,4.215626,80,-30
3,0,2.226959,60,-60
3,0,4.278115,40,-70
3,0,0.943045,10,-50
3,1,1.501207,90,-10
3,1,2.348438,20,-10
3,1,2.642411,90,-30
3,0,1.989179,60,-90
3,0,0.72899,90,-80
3,0,0.927914,100,-100
3,0,1.254404,50,-100
3,0,1.182983,20,-60
3,0,0.947803,90,-70
3,1,1.233623,90,-20
3,1,6.011352,20,-20
3,0,3.342791,50,-40
3,0,1.021099,100,-60
3,0,1.608239,10,-40
3,1,0.99578,100,-10
3,0,1.351606,30,-60
3,0,1.421029,90,-60
3,0,0.967862,10,-80
3,0,0.796263,60,-60
3,0,0.768477,50,-50
3,1,1.149801,30,-10
3,1,1.523568,100,-30
3,0,1.538447,60,-50
3,0,1.032494,100,-80
3,0,5.242872,100,-60
3,0,1.028938,60,-70
3,1,1.615718,30,-20
3,0,0.946389,40,-40
3,0,0.64817,40,-50
3,1,2.090902,40,-10
3,0,1.628385,20,-30
3,0,1.256332,60,-70
3,0,0.683014,70,-90
3,1,3.796217,40,-30
3,1,2.745619,40,-20
3,0,1.432933,40,-80
3,0,0.876977,70,-70
3,0,0.92679,20,-60
3,0,1.645666,10,-90
3,1,1.495519,90,-30
3,0,4.822878,80,-100
3,0,1.377753,90,-100
3,0,8.588417,80,-50
3,0,0.889539,40,-60
3,0,1.281432,10,-40
3,0,2.36229,50,-100
3,0,1.183575,30,-40
3,0,0.851685,20,-90
3,0,0.868783,20,-100
3,0,0.69368,20,-50
3,0,1.021619,40,-60
3,1,1.616724,40,-10
3,0,0.714973,70,-100
3,0,1.362979,30,-30
3,0,0.960238,80,-80
3,0,0.925568,40,-40
3,0,0.755597,80,-100
3,0,1.864864,10,-80
3,1,1.705595,100,-30
3,0,1.640879,30,-80
3,0,1.570662,10,-20
3,1,1.496238,50,-20
3,0,3.464183,70,-40
3,0,0.617376,80,-40
3,0,1.388632,10,-20
3,1,0.98492,70,-20
3,0,0.733357,50,-80
3,0,6.123948,30,-20
3,0,1.731287,40,-80
3,0,0.70619,60,-80
3,1,2.785197,60,-30
3,1,2.42128,80,-20
3,0,0.903953,100,-90
3,0,1.719478,100,-70
3,0,0.942894,30,-90
3,0,0.764834,50,-90
3,0,0.857391,90,-100
3,0,1.003308,30,-100
3,0,1.862814,90,-70
3,1,5.951936,40,-20
3,0,2.725445,20,-90
3,0,3.907809,10,-100
3,1,1.46748,70,-20
3,0,0.955957,50,-70
3,0,0.841329,20,-40
3,0,0.827518,40,-90
3,0,0.878773,30,-90
3,0,0.759488,70,-60
3,0,0.733309,70,-80
3,0,0.836034,10,-50
3,0,0.93458,10,-30
3,0,0.748791,60,-100
3,0,0.955263,90,-90
3,0,1.008572,10,-70
3,0,1.147866,10,-60
3,0,0.586136,80,-90
3,0,0.998075,40,-50
3,0,0.617864,80,-60
3,0,0.844636,90,-40
3,0,1.270738,100,-80
3,0,7.079122,90,-40
3,0,1.952453,30,-80
3,0,1.094399,30,-70
3,0,0.758564,80,-80
3,0,0.52392,60,-80
3,1,1.466691,100,-20
3,0,1.371165,90,-60
3,0,0.825284,10,-70
3,0,0.836518,70,-40
3,0,0.663146,50,-40
3,0,1.074017,70,-50
3,0,0.490718,80,-40
3,0,0.761994,100,-70
3,1,1.039193,60,-10
3,0,0.714609,60,-100
3,0,1.235426,100,-50
3,0,1.04592,10,-100
3,0,1.152594,80,-50
3,1,1.023257,60,-10
3,0,0.627259,30,-50
3,0,0.51112,60,-90
3,0,0.559131,90,-50
3,0,0.540489,80,-70
3,0,0.538738,70,-60
3,0,2.257232,20,-80
3,0,0.594418,80,-60
3,1,0.950621,90,-20
3,0,0.875894,10,-30
3,0,1.75705,20,-70
3,0,0.818689,90,-80
3,0,0.669353,40,-100
3,1,0.99858,60,-20
3,0,0.70711,30,-100
3,1,1.050425,50,-10
3,0,0.915933,70,-100
3,1,0.899121,100,-10
3,0,1.938384,20,-10
3,1,1.881661,50,-20
3,0,1.29971,30,-70
3,1,1.291914,80,-30
3,0,1.82117,40,-90
3,0,1.087837,30,-10
4,1,2.524889,60,-20
4,0,4.635669,20,-80
4,1,7.596892,100,-100
4,0,1.447716,60,-30
4,0,1.849901,30,-30
4,1,2.292583,10,-10
4,1,3.085874,90,-50
4,1,1.655247,10,-10
4,0,2.34578,70,-90
4,0,3.233187,30,-50
4,0,1.492591,30,-60
4,0,1.085842,50,-70
4,1,1.919038,70,-10
4,1,1.638325,50,-30
4,1,4.241282,70,-70
4,1,1.642622,100,-20
4,1,2.277868,50,-50
4,1,1.182548,100,-40
4,1,1.331041,90,-10
4,0,1.977799,50,-80
4,0,1.894541,10,-90
4,0,1.55034,40,-70
4,1,2.708327,70,-50
4,0,1.211148,40,-100
4,1,1.734228,70,-30
4,0,1.420388,20,-100
4,1,2.871111,60,-40
4,1,1.743739,60,-40
4,1,1.14964,80,-20
4,1,1.28392,70,-30
4,1,1.012457,80,-10
4,0,1.623707,10,-60
4,0,1.818348,50,-60
4,1,2.988953,40,-30
4,1,0.864969,100,-50
4,0,3.346333,50,-60
4,1,1.160358,50,-10
4,1,2.701893,90,-90
4,0,1.732929,50,-90
4,0,1.843575,20,-50
4,1,1.277742,70,-10
4,1,1.358479,100,-40
4,1,1.315855,20,-20
4,1,1.859151,100,-90
4,0,2.396291,80,-90
4,0,1.448249,20,-40
4,1,1.050448,80,-10
4,1,1.436484,80,-70
4,0,1.486477,20,-70
4,0,1.358501,20,-30
4,1,2.427547,60,-50
4,1,0.99814,50,-30
4,0,1.242817,70,-80
4,0,1.604874,30,-40
4,1,0.984147,80,-30
4,1,1.820438,60,-60
4,0,1.430997,40,-70
4,0,1.234198,10,-50
4,1,1.020379,90,-10
4,1,1.20754,20,-10
4,1,0.994761,90,-30
4,0,0.951501,60,-90
4,1,1.285456,90,-80
4,1,1.30895,100,-100
4,0,1.404866,50,-100
4,0,1.408208,20,-60
4,1,0.963624,90,-70
4,1,0.91352,90,-20
4,1,0.961423,20,-20
4,1,1.214765,50,-40
4,1,0.809772,100,-60
4,0,1.18101,10,-40
4,1,1.161412,100,-10
4,0,1.33475,30,-60
4,1,0.948815,90,-60
4,0,1.106004,10,-80
4,1,1.426264,60,-60
4,1,1.172922,50,-50
4,1,1.002074,30,-10
4,1,0.957383,100,-30
4,1,1.218706,60,-50
4,1,0.845536,100,-80
4,1,0.855627,100,-60
4,0,1.097018,60,-70
