,subj_idx,response,rt,gain,loss
2,2,0,0.888,28,-18
3,2,0,1.189,16,-11
4,2,0,2.092,40,-20
5,2,0,0.957,18,-16
6,2,1,2.636,38,-11
8,2,0,2.325,40,-18
9,2,0,1.198,10,-10
10,2,1,1.541,24,-6
11,2,1,1.453,20,-8
12,2,1,2.445,40,-12
13,2,0,1.685,22,-10
14,2,1,1.79,18,-6
15,2,0,2.2230000000000003,38,-16
16,2,0,1.246,30,-20
17,2,0,2.894,22,-14
18,2,0,0.911,18,-18
19,2,0,0.895,16,-19
20,2,0,1.719,24,-10
21,2,0,0.91,12,-19
22,2,1,1.24,28,-9
23,2,1,2.215,30,-10
24,2,0,1.4,18,-15
25,2,0,2.367,32,-14
28,2,0,1.528,14,-10
29,2,1,1.217,34,-8
30,2,0,1.96,30,-11
31,2,0,2.129,32,-13
32,2,0,1.704,18,-11
33,2,1,1.537,30,-7
34,2,0,1.689,18,-13
35,2,0,1.026,14,-19
36,2,0,1.161,12,-11
37,2,0,0.887,10,-13
38,2,0,0.954,22,-16
39,2,0,0.8009999999999999,12,-16
40,2,0,1.937,38,-17
41,2,1,1.626,40,-14
42,2,1,1.466,22,-5
43,2,0,0.899,16,-16
44,2,1,1.162,34,-5
45,2,0,1.034,10,-19
46,2,0,0.755,14,-16
47,2,1,1.113,30,-8
48,2,0,2.523,34,-14
49,2,0,1.331,30,-14
50,2,0,0.979,26,-15
51,2,0,1.052,10,-20
52,2,1,1.3,34,-7
53,2,0,2.522,10,-5
54,2,0,1.054,20,-20
55,2,0,1.244,28,-20
56,2,1,1.068,36,-5
57,2,1,1.028,26,-7
58,2,0,1.6840000000000002,26,-17
59,2,0,0.8440000000000001,16,-15
60,2,0,2.293,26,-10
61,2,0,1.445,38,-15
62,2,0,2.396,26,-11
63,2,1,1.349,28,-5
64,2,0,0.965,14,-18
65,2,0,2.347,22,-12
66,2,0,2.454,34,-15
67,2,0,2.478,38,-13
68,2,0,1.495,10,-8
69,2,0,1.199,12,-9
70,2,0,1.6869999999999998,36,-11
71,2,1,2.181,14,-5
72,2,0,1.255,22,-11
73,2,0,1.023,18,-19
74,2,1,1.567,22,-8
75,2,1,1.487,38,-6
76,2,0,2.488,12,-8
77,2,0,1.289,14,-11
78,2,1,2.9760000000000004,32,-12
79,2,0,1.257,20,-11
80,2,0,1.199,26,-14
81,2,1,1.432,32,-8
82,2,0,1.44,40,-17
83,2,0,2.071,20,-17
0,3,0,1.104,20,-15
1,3,0,0.706,18,-12
2,3,0,0.565,10,-15
3,3,0,0.902,34,-16
4,3,1,1.246,18,-5
5,3,0,0.6679999999999999,26,-13
6,3,0,1.206,32,-17
7,3,1,1.067,16,-5
8,3,1,0.884,22,-7
9,3,1,1.455,36,-8
10,3,0,1.934,16,-10
11,3,0,0.7979999999999999,30,-13
12,3,0,0.919,14,-17
13,3,0,0.767,28,-19
14,3,0,0.6940000000000001,14,-20
15,3,0,1.192,26,-16
16,3,1,1.2,40,-5
17,3,0,1.358,28,-12
18,3,0,1.135,20,-16
19,3,1,1.046,26,-5
20,3,0,1.102,32,-20
21,3,0,1.016,18,-17
22,3,1,1.128,20,-6
23,3,0,1.135,20,-18
24,3,1,1.161,40,-7
25,3,1,1.015,36,-6
26,3,0,0.887,16,-20
27,3,0,1.569,40,-15
28,3,0,1.409,10,-6
29,3,0,1.08,12,-15
30,3,0,1.234,34,-17
31,3,0,0.695,18,-14
32,3,0,1.29,40,-13
33,3,0,0.698,32,-19
34,3,0,0.888,14,-12
35,3,0,0.792,32,-10
36,3,0,2.154,36,-17
