,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a_subj.35,a_subj,True,False,True,a_subj.35,(),['subj_idx'],False,35,,,,,,,2.7561721043904868,0.11441754401060447,2.5419827671094337,2.6764519002495484,2.7553455178258806,2.8336330441013735,2.987951771880306,0.003335076589528142,2.3346210974380015
a_subj.36,a_subj,True,False,True,a_subj.36,(),['subj_idx'],False,36,,,,,,,2.6919070852589373,0.09432736571462115,2.5175523526109855,2.626022460842445,2.6900226200987296,2.753217468730231,2.8870077163500083,0.002248374982073795,2.3379751287814265
a_subj.37,a_subj,True,False,True,a_subj.37,(),['subj_idx'],False,37,,,,,,,1.729661235512673,0.05812046250319958,1.6179354300668871,1.688910288514355,1.7304296350857724,1.7685344281019488,1.8478490778744312,0.0012593139963362505,1.6257760699371628
a_subj.38,a_subj,True,False,True,a_subj.38,(),['subj_idx'],False,38,,,,,,,2.858038525805511,0.11603150006987462,2.636703581188639,2.778390325209691,2.8565182742919872,2.9330764104858775,3.0884600240979845,0.0035005078370427,2.390251851617573
a_subj.39,a_subj,True,False,True,a_subj.39,(),['subj_idx'],False,39,,,,,,,2.51776199271654,0.0964562902315797,2.341095823454453,2.4504273920950506,2.5132324820485445,2.57857889901182,2.7215971454350325,0.0029476120162958185,2.205542378135727
t,t,True,False,False,t,(),[],False,,,,,,,,0.38423403282413093,0.05245690276117924,0.2958575107335397,0.3487766814699302,0.3795713374959037,0.4149366736269228,0.5009179600087855,0.0016644449154323792,0.43130003824896923
t_std,t_std,True,False,False,t_std,(),[],False,,,,,,,,0.339549526605374,0.06669387928457529,0.23747974607219535,0.2934660658411316,0.3298509680887167,0.3750492400745582,0.4970329365255746,0.0024171116739330764,0.25655987998824203
t_rate,t_rate,False,False,False,t_rate,(),[],True,,,,,,,,,,,,,,,,6.552424252746674
t_shape,t_shape,False,False,False,t_shape,(),[],True,,,,,,,,,,,,,,,,2.826060830833114
t_subj.1,t_subj,True,False,True,t_subj.1,(),['subj_idx'],False,1,,,,,,,0.3026699560763002,0.01520787274924257,0.2682853726013174,0.29345580569575874,0.3040640929374375,0.3133463747026133,0.32841482130635746,0.0004063248453676536,0.32879270236352803
t_subj.2,t_subj,True,False,True,t_subj.2,(),['subj_idx'],False,2,,,,,,,0.5267498358287777,0.021621619016245583,0.48204371727410056,0.5125400015954863,0.5281687452014554,0.5420563479007439,0.5647720344307415,0.0005089167007545718,0.5683648912741273
t_subj.3,t_subj,True,False,True,t_subj.3,(),['subj_idx'],False,3,,,,,,,0.37601027805489373,0.03165073108184687,0.3118370258542355,0.355216236317324,0.3769831974462814,0.3983016776835999,0.43465641068267125,0.000793997108050661,0.47992027712548596
t_subj.4,t_subj,True,False,True,t_subj.4,(),['subj_idx'],False,4,,,,,,,0.3683609365461382,0.012973837842982587,0.3402811106639007,0.3602921641786218,0.3690474581438274,0.37769168016785115,0.39145407221659856,0.00031048160478425657,0.39458744539268487
t_subj.5,t_subj,True,False,True,t_subj.5,(),['subj_idx'],False,5,,,,,,,0.47446436057308145,0.013180224361656095,0.44560683730348,0.4663779610649591,0.47547726489497666,0.48390229260143114,0.49657035622305595,0.00029383133897163937,0.4970340016501254
t_subj.6,t_subj,True,False,True,t_subj.6,(),['subj_idx'],False,6,,,,,,,0.5085706675980994,0.015688624414186253,0.4738081932560909,0.4992772460905161,0.5101958644894453,0.5197954626520771,0.5344489896751142,0.0003385206583363906,0.5323465613941272
t_subj.7,t_subj,True,False,True,t_subj.7,(),['subj_idx'],False,7,,,,,,,0.505508060872826,0.02386554446722954,0.45243204583404817,0.4906303402320993,0.507805602371292,0.522630872887528,0.5454679365775637,0.0006240745768276303,0.5562012858294278
t_subj.8,t_subj,True,False,True,t_subj.8,(),['subj_idx'],False,8,,,,,,,0.13409740788724112,0.04237068327854238,0.047738914767841076,0.10542848837860001,0.1366163421882732,0.16344948862865089,0.21180744807536017,0.0011736449647412237,0.2865320881111243
t_subj.9,t_subj,True,False,True,t_subj.9,(),['subj_idx'],False,9,,,,,,,0.4398377609921056,0.026424086866328623,0.384062274185112,0.4229957587163912,0.44098660350549845,0.4585156053528914,0.48665860575173053,0.0007035934229845571,0.5074319482168164
t_subj.10,t_subj,True,False,True,t_subj.10,(),['subj_idx'],False,10,,,,,,,0.13957882309537623,0.04047087468060973,0.05565049100433861,0.11343046236012293,0.14138391371289089,0.1686848338428589,0.21425493181782537,0.001087953155430974,0.29587520172472903
t_subj.11,t_subj,True,False,True,t_subj.11,(),['subj_idx'],False,11,,,,,,,0.0008208850885290291,0.0007041151963676583,2.8867012588618075e-05,0.0002931648741904945,0.0006418632376489779,0.0011439530296252064,0.0026399012456189653,1.6661778976508998e-05,0.002753842901184374
t_subj.12,t_subj,True,False,True,t_subj.12,(),['subj_idx'],False,12,,,,,,,0.2878473928289532,0.034179371855725116,0.21449195721925507,0.2666493294614272,0.28923436027008664,0.312657529099492,0.3476855433431093,0.0008688189775512475,0.38494008533832313
