,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
v_gain_subj.13,v_gain_subj,True,False,True,v_gain_subj.13,(),['subj_idx'],False,13,,,,,0.02969992841368773,0.003178794609229408,0.02322068185089192,0.027633736866357728,0.029720481865343273,0.03179573029141823,0.03594152581040461,0.00012307814040504432,0.016934711547817352
v_gain_subj.14,v_gain_subj,True,False,True,v_gain_subj.14,(),['subj_idx'],False,14,,,,,0.017978161122982093,0.002419897963499988,0.013180810961321412,0.01641256105040184,0.018016391557062025,0.019641924061812376,0.022656702222583272,0.00010539920032641816,0.0019116750702577432
v_gain_subj.15,v_gain_subj,True,False,True,v_gain_subj.15,(),['subj_idx'],False,15,,,,,0.018192518747647424,0.002366020196404133,0.01350756535194853,0.016558153819492813,0.018246497892625183,0.019810409534036486,0.022908457189724535,8.543280853321933e-05,0.004905658097076768
v_gain_subj.16,v_gain_subj,True,False,True,v_gain_subj.16,(),['subj_idx'],False,16,,,,,0.009386078841558313,0.0024054737787278144,0.004780492765560588,0.007705059734968499,0.009324848186736744,0.011010725340599811,0.014162820627375575,9.133255784535827e-05,-0.004203706286175708
v_gain_subj.17,v_gain_subj,True,False,True,v_gain_subj.17,(),['subj_idx'],False,17,,,,,0.016677393199156072,0.0037080777696598594,0.0091281537386099,0.014293905956662575,0.016782865897852384,0.019133610865807234,0.02390182551410268,0.00017189372260887272,-0.015335423486620836
v_gain_subj.18,v_gain_subj,True,False,True,v_gain_subj.18,(),['subj_idx'],False,18,,,,,0.01487046104352435,0.0021726313432347275,0.010536143725489682,0.01336046124552168,0.014878106694247379,0.016380724741963674,0.0190192143591981,8.783602047213963e-05,0.003856340528956477
v_gain_subj.19,v_gain_subj,True,False,True,v_gain_subj.19,(),['subj_idx'],False,19,,,,,1.7330958197626033e-05,0.00200557439001227,-0.003958063179297968,-0.0013062553634496429,1.849424055412347e-05,0.0013734354848740308,0.0039045644516288863,8.327968131083098e-05,-0.012030567495652034
v_gain_subj.20,v_gain_subj,True,False,True,v_gain_subj.20,(),['subj_idx'],False,20,,,,,0.005830950193072312,0.006665712626727884,-0.007335911895881284,0.0013048020073398257,0.005850479548545314,0.010476872903061596,0.01872878406148231,0.00019738385015001156,-0.035383081337178796
v_gain_subj.21,v_gain_subj,True,False,True,v_gain_subj.21,(),['subj_idx'],False,21,,,,,0.008132219292528607,0.003078924957813808,0.0020465681368872987,0.0060764620266322835,0.008109659875923655,0.010225592462331495,0.014256296116254888,0.00013475632338625723,-0.006015652504109892
v_gain_subj.22,v_gain_subj,True,False,True,v_gain_subj.22,(),['subj_idx'],False,22,,,,,0.003191783309550493,0.002841133695133079,-0.002347466172534547,0.0013196485135916745,0.003224879186767924,0.005105363672373584,0.00874505867356861,0.000102513993955035,-0.012143286850363814
v_gain_subj.23,v_gain_subj,True,False,True,v_gain_subj.23,(),['subj_idx'],False,23,,,,,0.011897022177000643,0.003207577778013933,0.005611594793185747,0.009749751021238314,0.01194223462404402,0.014044685269482956,0.01812387859232948,0.00012219462780535645,0.0014929768738186887
v_gain_subj.24,v_gain_subj,True,False,True,v_gain_subj.24,(),['subj_idx'],False,24,,,,,0.00035140227879071914,0.0070017651081920205,-0.014151571310466168,-0.004139572750315963,0.0004703619497719441,0.005240831986634473,0.01312830224357427,0.00017333420693951487,-0.040670086554893674
v_gain_subj.25,v_gain_subj,True,False,True,v_gain_subj.25,(),['subj_idx'],False,25,,,,,0.014467162507375085,0.0028586424806206294,0.008837634693620724,0.01247370130543226,0.014473856220642475,0.016369931171638964,0.020111773276522055,0.00010595606354843535,0.002565166099875195
v_gain_subj.26,v_gain_subj,True,False,True,v_gain_subj.26,(),['subj_idx'],False,26,,,,,0.02744173944095543,0.002609157515417219,0.022321485616244818,0.025687560134978443,0.027420176201195585,0.02911544640039418,0.032645840275719686,0.000115784494124965,0.010244371708040937
v_gain_subj.27,v_gain_subj,True,False,True,v_gain_subj.27,(),['subj_idx'],False,27,,,,,0.022967170476793693,0.002159980746953935,0.018827987945180914,0.02145864335288327,0.022948356603228012,0.02449072208554685,0.02707878709275435,9.604388199222561e-05,0.013693736138774079
v_gain_subj.28,v_gain_subj,True,False,True,v_gain_subj.28,(),['subj_idx'],False,28,,,,,0.021459791528890784,0.0022660705924645937,0.017080204297395353,0.019909744855966582,0.021476912617468168,0.022993241360771858,0.026053700245518237,9.473066383464225e-05,0.006516805728569022
v_gain_subj.29,v_gain_subj,True,False,True,v_gain_subj.29,(),['subj_idx'],False,29,,,,,0.00715665142930999,0.0020990021888422495,0.0031788530666841588,0.005719865399377171,0.007135610907475936,0.00855484748643311,0.011413810833730038,9.354546729099724e-05,-0.013141383815303338
v_gain_subj.30,v_gain_subj,True,False,True,v_gain_subj.30,(),['subj_idx'],False,30,,,,,0.01313441318940514,0.0024597484483032165,0.008255476204318057,0.011478011860067437,0.013181646272226686,0.014799360073484397,0.017936610006822517,9.780847816578608e-05,-0.004349194043149184
v_gain_subj.31,v_gain_subj,True,False,True,v_gain_subj.31,(),['subj_idx'],False,31,,,,,0.03520824794841987,0.003345293245577989,0.028586317992924597,0.03294491812423564,0.03516588165988316,0.03738114586166143,0.041665080783284396,0.00015743258119319336,0.006687800012033778
v_gain_subj.32,v_gain_subj,True,False,True,v_gain_subj.32,(),['subj_idx'],False,32,,,,,0.01368568647969851,0.0030015515103620116,0.007965434306723033,0.011636390773804916,0.013650239881817655,0.015756140778821332,0.019583296395244754,0.00011624819269566245,-0.003793107887291434
v_gain_subj.33,v_gain_subj,True,False,True,v_gain_subj.33,(),['subj_idx'],False,33,,,,,0.011218852945314956,0.0024721556947823447,0.006315981213329359,0.00958251719180668,0.011244578515182489,0.012870912263313728,0.01607950248219829,0.00011012543664470803,-0.01042903247720851
v_gain_subj.34,v_gain_subj,True,False,True,v_gain_subj.34,(),['subj_idx'],False,34,,,,,0.0072562440033545885,0.0021584538391882712,0.0029756777498814307,0.005797837442256664,0.007257825048233039,0.008700253797400595,0.01137434654285199,8.459168970852085e-05,-0.0013498262011308673
v_gain_subj.35,v_gain_subj,True,False,True,v_gain_subj.35,(),['subj_idx'],False,35,,,,,0.022966511072183907,0.002872919539502463,0.017245434830877374,0.02097835765390768,0.022993856141949,0.02494342087213896,0.028469717036985302,9.864047002783834e-05,0.010944337799509438
v_gain_subj.36,v_gain_subj,True,False,True,v_gain_subj.36,(),['subj_idx'],False,36,,,,,0.015071456787760602,0.0031347711973414294,0.008853131998136744,0.012962944077811032,0.015122660964338204,0.01710951496262023,0.02139334308187637,0.0001311669440918189,-0.009851670978120402
v_gain_subj.37,v_gain_subj,True,False,True,v_gain_subj.37,(),['subj_idx'],False,37,,,,,0.01723358513247979,0.0023736320244134813,0.012709098874969755,0.015538576610150692,0.01722282543142415,0.018830516023916423,0.02187177941644047,8.748077849290925e-05,0.004065388856865289
v_gain_subj.38,v_gain_subj,True,False,True,v_gain_subj.38,(),['subj_idx'],False,38,,,,,0.0070053900272240704,0.0024034322911467656,0.002027105489837251,0.005435996023639955,0.007060534572956748,0.00870111416031775,0.01153614658053739,9.779485132991156e-05,-0.010828861503266571
v_gain_subj.39,v_gain_subj,True,False,True,v_gain_subj.39,(),['subj_idx'],False,39,,,,,0.023578071521438006,0.003382182991405265,0.017088252757949247,0.021244247009457845,0.023688656763125406,0.025833067400260187,0.030245753943483465,0.00014682945848219138,0.009172614752505335
v_gain_subj.40,v_gain_subj,True,False,True,v_gain_subj.40,(),['subj_idx'],False,40,,,,,0.026031042425337374,0.0025500719737310616,0.021106601067123604,0.024263511116013443,0.025985170237081644,0.02768063769097453,0.03106608758580128,9.196781845205298e-05,0.010102837918668821
v_gain_subj.41,v_gain_subj,True,False,True,v_gain_subj.41,(),['subj_idx'],False,41,,,,,0.006747770156740668,0.0027559449687676427,0.0014314026352494763,0.004874794043152603,0.00675788910568605,0.008676734085653757,0.01209451688996915,0.00012000933746472066,-0.009537386025128988
v_gain_subj.42,v_gain_subj,True,False,True,v_gain_subj.42,(),['subj_idx'],False,42,,,,,0.0166830278069934,0.002474730072735501,0.011877654871795588,0.014975961929591657,0.01667636987441312,0.01835435450926435,0.02161684501371064,9.581400452039185e-05,-0.003935526539488192
v_gain_subj.43,v_gain_subj,True,False,True,v_gain_subj.43,(),['subj_idx'],False,43,,,,,0.00957888870163545,0.0023456279776342707,0.005265608676518468,0.007882131200236755,0.00956864433992064,0.011195178765134785,0.014132116426747563,9.196355352893439e-05,0.0013915515029135387
v_gain_subj.44,v_gain_subj,True,False,True,v_gain_subj.44,(),['subj_idx'],False,44,,,,,0.024223701160192332,0.0026300068384372335,0.01921865562532766,0.022401594552020725,0.024225048176293635,0.025927974898524865,0.02959084608700579,0.00010356491887708876,0.012495093076011814
v_gain_subj.45,v_gain_subj,True,False,True,v_gain_subj.45,(),['subj_idx'],False,45,,,,,0.008601261537242952,0.0024272322356849907,0.0037692980659369477,0.006933938588391629,0.008642541544077766,0.010254814158029622,0.013154803890184204,0.000101599183328465,-0.004840408990951604
v_gain_subj.46,v_gain_subj,True,False,True,v_gain_subj.46,(),['subj_idx'],False,46,,,,,0.0017723827330278425,0.002170746325885187,-0.002531423912503535,0.00034997870120809065,0.001801524106990692,0.0032739402423895845,0.005903310070679538,9.80429100031484e-05,-0.016876231619958777
v_gain_subj.47,v_gain_subj,True,False,True,v_gain_subj.47,(),['subj_idx'],False,47,,,,,0.008430407391155855,0.002587588656164702,0.0033319604416092163,0.0066815073997536605,0.00847743591725288,0.010203672481609688,0.0134491982029578,0.0001228957772112851,-0.007790892246959057
v_gain_subj.48,v_gain_subj,True,False,True,v_gain_subj.48,(),['subj_idx'],False,48,,,,,0.02325364061369478,0.002960113357434054,0.017534394488342972,0.02121363469079692,0.023264965033388933,0.025134986723010597,0.029263811503494608,0.0001394125373021349,-0.003750654967110408
v_gain_subj.49,v_gain_subj,True,False,True,v_gain_subj.49,(),['subj_idx'],False,49,,,,,0.016956148379832486,0.0022577624956271487,0.012527627303154407,0.015434488867049043,0.01693938123508534,0.018510623049357244,0.021426394564882215,9.604836055364209e-05,0.0015346512486356073
v_loss,v_loss,True,False,False,v_loss,(),[],False,,,,,,0.021758442892010295,0.0015822487572629768,0.018659749566142178,0.020724289644559288,0.021739038446843637,0.022793709857139764,0.024852407507667783,2.7841562777818176e-05,0.03478775369677052
v_loss_std,v_loss_std,True,False,False,v_loss_std,(),[],False,,,,,,0.010295709601670339,0.0012382779195540077,0.0081423207538098,0.009458414714024609,0.010180982764505627,0.011017224211175779,0.013106187836983613,3.463762915695566e-05,0.00933963709457094
v_loss_tau,v_loss_tau,False,False,False,v_loss_tau,(),[],True,,,,,,,,,,,,,,11464.100831212761
v_loss_subj.1,v_loss_subj,True,False,True,v_loss_subj.1,(),['subj_idx'],False,1,,,,,0.0207680337591737,0.0021373604150454247,0.01666483348056772,0.019295418113421135,0.020820826806699007,0.022245256525539128,0.024853010975611968,8.906581855870349e-05,0.030442368153416863
v_loss_subj.2,v_loss_subj,True,False,True,v_loss_subj.2,(),['subj_idx'],False,2,,,,,0.029549368315198606,0.003176307977412868,0.023174676033832328,0.02741306816079132,0.02956861625005237,0.03174058567695843,0.03568903001244911,0.00013713842132397552,0.0440224264920628
v_loss_subj.3,v_loss_subj,True,False,True,v_loss_subj.3,(),['subj_idx'],False,3,,,,,0.022586211780720605,0.0020897584939396138,0.018584540553439447,0.02116265779706233,0.02259296928328822,0.023970535753140062,0.026809638748205217,8.862314558489473e-05,0.03101753919355621
v_loss_subj.4,v_loss_subj,True,False,True,v_loss_subj.4,(),['subj_idx'],False,4,,,,,0.03058913676204668,0.002840563668681276,0.024852258364733752,0.028725703044163126,0.030623822664748578,0.032487544975421695,0.03608772218497446,0.00013617146573943411,0.041694763603368164
v_loss_subj.5,v_loss_subj,True,False,True,v_loss_subj.5,(),['subj_idx'],False,5,,,,,0.03226988248602311,0.005314542960529239,0.021396836482479337,0.028825930195282724,0.032302051793211904,0.035821632840731116,0.04284777529619739,0.00014058687880033613,0.05422190600456619
v_loss_subj.6,v_loss_subj,True,False,True,v_loss_subj.6,(),['subj_idx'],False,6,,,,,0.006037077116275353,0.002928772838159681,0.00043904285049313485,0.004063824862619045,0.006016034288776391,0.007974664206434641,0.011870452155111526,0.00012043011425429617,0.028081093808880606
v_loss_subj.7,v_loss_subj,True,False,True,v_loss_subj.7,(),['subj_idx'],False,7,,,,,0.014404211662490196,0.0029468022610828286,0.008674476143832155,0.012382565161281929,0.01448718685575515,0.01647879618261921,0.019921740895699522,0.0001066154972403977,0.032450390316982734
v_loss_subj.8,v_loss_subj,True,False,True,v_loss_subj.8,(),['subj_idx'],False,8,,,,,0.02027987997587396,0.002309421758440107,0.015729834796818772,0.018762407680139155,0.02023090398020441,0.021830057151308726,0.024840856158423907,9.38470842182906e-05,0.03147136603109946
v_loss_subj.9,v_loss_subj,True,False,True,v_loss_subj.9,(),['subj_idx'],False,9,,,,,0.018819832163264858,0.0020618507028660506,0.014811495544456175,0.017448523438906124,0.018873133131824586,0.020160161153402766,0.022983102546515574,8.30418112654697e-05,0.029096888584859724
v_loss_subj.10,v_loss_subj,True,False,True,v_loss_subj.10,(),['subj_idx'],False,10,,,,,0.013796527425124279,0.0016774603888044368,0.010587513285919064,0.01262160791279213,0.013797710090300792,0.014957522973856545,0.01701043481642333,6.715837009720935e-05,0.020930992878322688
v_loss_subj.11,v_loss_subj,True,False,True,v_loss_subj.11,(),['subj_idx'],False,11,,,,,0.02982286260788689,0.0029107902748466987,0.0242573823585874,0.02787102701488335,0.02981844962788469,0.03177825671324367,0.035402637103840034,0.0001316065966506488,0.04165646455991727
v_loss_subj.12,v_loss_subj,True,False,True,v_loss_subj.12,(),['subj_idx'],False,12,,,,,0.019151770194955103,0.0022792638593719158,0.014732519522279205,0.017623780295194603,0.019106481222910924,0.020697911055856583,0.02364003050596177,0.00010667063402837928,0.030867183263245182
v_loss_subj.13,v_loss_subj,True,False,True,v_loss_subj.13,(),['subj_idx'],False,13,,,,,0.035295784798233164,0.00303897623089013,0.02955108986330904,0.0331901139364589,0.035249696951283785,0.03730057545410922,0.04133434947080727,0.00012293165252900162,0.04919915075146906
v_loss_subj.14,v_loss_subj,True,False,True,v_loss_subj.14,(),['subj_idx'],False,14,,,,,0.020540921840341227,0.0024293079619321016,0.015785461876249695,0.01889652291740293,0.020560025093201595,0.022106845667858237,0.025334251448014884,9.466337244048066e-05,0.03398329676461945
v_loss_subj.15,v_loss_subj,True,False,True,v_loss_subj.15,(),['subj_idx'],False,15,,,,,0.02265494770778492,0.002420861865759854,0.017966528696327422,0.021034640664497672,0.022593272600736448,0.02430029125781994,0.027488795310957142,9.593402589268819e-05,0.03395727934829442
v_loss_subj.16,v_loss_subj,True,False,True,v_loss_subj.16,(),['subj_idx'],False,16,,,,,0.02205454526593157,0.002475721843946736,0.01723735704773079,0.020392055258771025,0.02204417395591526,0.02370924892332757,0.026931193493242543,9.779237489449674e-05,0.03286428363426945
