,subj_idx,response,rt,gain,loss
381,2,1,0.965,9,-2
382,2,1,1.667,9,-3
383,2,1,4.721,9,-4
384,2,1,1.145,9,-5
385,2,1,1.006,9,-6
386,2,1,0.995,9,-7
387,2,0,1.24,9,-8
388,2,1,3.912,9,-9
389,2,0,1.093,9,-10
390,2,1,0.759,10,-1
391,2,1,0.904,10,-2
392,2,1,1.202,10,-3
393,2,1,1.263,10,-4
394,2,1,0.953,10,-5
395,2,1,0.661,10,-6
396,2,1,1.277,10,-7
397,2,1,1.092,10,-8
398,2,1,4.553,10,-9
399,2,0,1.749,10,-10
400,3,1,2.352,1,-1
401,3,0,3.703,1,-2
402,3,1,2.696,1,-3
403,3,0,1.737,1,-4
404,3,0,1.522,1,-5
405,3,0,2.246,1,-6
406,3,0,1.026,1,-7
407,3,0,0.946,1,-8
408,3,0,1.875,1,-9
409,3,0,0.827,1,-10
410,3,1,1.352,2,-1
411,3,0,3.011,2,-2
412,3,0,1.414,2,-3
413,3,0,2.982,2,-4
414,3,0,3.547,2,-5
415,3,0,0.811,2,-6
416,3,0,3.632,2,-7
417,3,0,5.756,2,-8
418,3,0,0.976,2,-9
419,3,0,2.168,2,-10
420,3,1,0.949,3,-1
421,3,1,2.113,3,-2
422,3,1,5.323,3,-3
423,3,0,1.743,3,-4
424,3,0,0.909,3,-5
425,3,0,1.105,3,-6
426,3,0,1.792,3,-7
427,3,0,1.408,3,-8
428,3,0,1.057,3,-9
429,3,0,1.153,3,-10
430,3,1,1.202,4,-1
431,3,1,2.654,4,-2
432,3,1,4.104,4,-3
433,3,1,1.659,4,-4
434,3,0,2.737,4,-5
435,3,0,1.786,4,-6
436,3,0,1.116,4,-7
437,3,0,1.024,4,-8
438,3,0,1.735,4,-9
439,3,0,1.028,4,-10
440,3,1,2.239,5,-1
441,3,1,1.27,5,-2
442,3,1,1.532,5,-3
443,3,1,2.028,5,-4
444,3,1,2.497,5,-5
445,3,0,3.174,5,-6
446,3,0,2.771,5,-7
447,3,0,4.193,5,-8
448,3,0,2.233,5,-9
449,3,0,1.385,5,-10
450,3,1,1.7,6,-1
451,3,1,0.984,6,-2
452,3,1,0.987,6,-3
453,3,1,1.517,6,-4
454,3,0,2.183,6,-5
455,3,0,6.133,6,-6
456,3,0,1.077,6,-7
457,3,0,1.57,6,-8
458,3,0,2.028,6,-9
459,3,0,0.943,6,-10
460,3,1,0.974,7,-1
461,3,1,1.054,7,-2
462,3,1,1.106,7,-3
463,3,1,1.451,7,-4
464,3,1,2.585,7,-5
465,3,0,2.192,7,-6
466,3,0,1.748,7,-7
467,3,0,2.302,7,-8
468,3,0,1.956,7,-9
469,3,0,1.667,7,-10
470,3,1,1.795,8,-1
471,3,1,1.31,8,-2
472,3,1,0.939,8,-3
473,3,1,1.377,8,-4
474,3,1,1.82,8,-5
475,3,1,3.23,8,-6
476,3,0,3.014,8,-7
477,3,0,2.668,8,-8
478,3,0,2.125,8,-9
479,3,0,1.299,8,-10
480,3,1,1.024,9,-1
481,3,1,1.325,9,-2
482,3,1,1.458,9,-3
483,3,1,1.417,9,-4
484,3,1,1.399,9,-5
485,3,1,1.404,9,-6
486,3,1,2.895,9,-7
487,3,1,3.717,9,-8
488,3,0,2.315,9,-9
489,3,0,1.14,9,-10
490,3,1,1.004,10,-1
491,3,1,2.287,10,-2
492,3,1,1.22,10,-3
493,3,1,1.184,10,-4
494,3,1,1.307,10,-5
495,3,1,1.261,10,-6
496,3,1,0.854,10,-7
497,3,0,2.869,10,-8
498,3,1,3.677,10,-9
499,3,0,1.84,10,-10
500,3,1,1.644,1,-1
501,3,0,1.489,1,-2
502,3,0,1.832,1,-3
503,3,0,1.235,1,-4
504,3,0,1.346,1,-5
505,3,0,4.907,1,-6
506,3,0,1.36,1,-7
507,3,0,1.033,1,-8
508,3,0,1.159,1,-9
509,3,0,1.06,1,-10
510,3,1,1.403,2,-1
511,3,1,1.319,2,-2
512,3,0,4.929,2,-3
513,3,0,1.215,2,-4
514,3,0,0.916,2,-5
515,3,0,4.162,2,-6
516,3,0,1.647,2,-7
517,3,0,1.29,2,-8
518,3,0,2.136,2,-9
519,3,0,2.595,2,-10
520,3,1,1.32,3,-1
521,3,1,1.254,3,-2
522,3,1,2.408,3,-3
523,3,0,2.375,3,-4
524,3,0,2.163,3,-5
525,3,0,1.36,3,-6
526,3,0,1.424,3,-7
527,3,0,1.101,3,-8
528,3,0,2.438,3,-9
529,3,0,1.581,3,-10
530,3,1,1.776,4,-1
531,3,1,1.087,4,-2
532,3,1,1.813,4,-3
533,3,0,2.418,4,-4
534,3,0,1.538,4,-5
535,3,0,2.529,4,-6
536,3,0,2.229,4,-7
537,3,0,0.942,4,-8
538,3,0,3.252,4,-9
539,3,0,1.268,4,-10
540,3,1,1.261,5,-1
541,3,1,1.104,5,-2
542,3,1,1.1,5,-3
543,3,1,1.458,5,-4
544,3,1,3.972,5,-5
545,3,0,1.45,5,-6
546,3,0,1.561,5,-7
547,3,0,1.837,5,-8
548,3,0,2.513,5,-9
549,3,0,3.018,5,-10
550,3,1,1.021,6,-1
551,3,1,2.068,6,-2
552,3,1,2.303,6,-3
553,3,1,1.786,6,-4
554,3,1,0.892,6,-5
555,3,0,2.138,6,-6
556,3,0,1.245,6,-7
557,3,0,1.181,6,-8
558,3,0,0.934,6,-9
559,3,0,1.311,6,-10
560,3,1,1.615,7,-1
561,3,1,2.207,7,-2
562,3,1,1.044,7,-3
563,3,1,3.007,7,-4
564,3,1,1.09,7,-5
565,3,1,2.347,7,-6
566,3,0,4.197,7,-7
567,3,0,3.229,7,-8
568,3,0,2.137,7,-9
569,3,0,1.667,7,-10
570,3,1,1.423,8,-1
571,3,1,1.494,8,-2
572,3,1,1.356,8,-3
573,3,1,1.524,8,-4
574,3,1,1.319,8,-5
575,3,0,1.41,8,-6
576,3,0,1.699,8,-7
577,3,0,1.785,8,-8
578,3,0,5.313,8,-9
579,3,0,1.21,8,-10
580,3,1,1.054,9,-1
581,3,1,1.207,9,-2
582,3,1,1.202,9,-3
