,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
t_subj.3,t_subj,True,False,True,t_subj.3,(),['subj_idx'],False,3,,,,,0.3607115108571872,0.030839357606671693,0.29427826894481024,0.34168872752288976,0.3631426352393255,0.3827222919788804,0.41326552314759335,0.0009565518591653539,0.38533177187239787
t_subj.4,t_subj,True,False,True,t_subj.4,(),['subj_idx'],False,4,,,,,0.6120731233516097,0.01872842630157122,0.5723688437962277,0.6003445675383645,0.6138590710967671,0.6255099320303514,0.6438980759405677,0.00044349912504867376,0.6447366825821013
t_subj.5,t_subj,True,False,True,t_subj.5,(),['subj_idx'],False,5,,,,,0.36119110734149806,0.015925624422551642,0.32406697269906715,0.35250121433300474,0.36403172446485854,0.37256179985744314,0.38386107595516916,0.0006631468954992608,0.313787820421662
t_subj.6,t_subj,True,False,True,t_subj.6,(),['subj_idx'],False,6,,,,,0.3721385388844878,0.008147398670333789,0.35393026736216654,0.3671245060939324,0.3730618430191982,0.37775575560774205,0.38585925002394716,0.0002481714395116289,0.33737372926452275
t_subj.7,t_subj,True,False,True,t_subj.7,(),['subj_idx'],False,7,,,,,0.3734996030829051,0.007048674603673466,0.3577723782380258,0.369138556353634,0.374297435799677,0.3785206494036709,0.38493543165962674,0.00020782088605961858,0.3305376155289017
t_subj.8,t_subj,True,False,True,t_subj.8,(),['subj_idx'],False,8,,,,,0.3531118738692144,0.020874220248487993,0.30635892678527044,0.34031842033139825,0.35466485620527155,0.3682654652695835,0.38902426472014306,0.0005206399534336488,0.38145386603350967
t_subj.9,t_subj,True,False,True,t_subj.9,(),['subj_idx'],False,9,,,,,0.48757999021982096,0.02641943578644366,0.42684898514029146,0.4719610074480392,0.4903704417269834,0.5062741091222915,0.530890778580809,0.0006909877931805801,0.5173256607901431
t_subj.10,t_subj,True,False,True,t_subj.10,(),['subj_idx'],False,10,,,,,0.29533441016227946,0.03711278859735997,0.21720054233821512,0.270292432607239,0.29882275803488,0.32248369536360555,0.36056927335788336,0.0008515400926745485,0.34363473152944596
t_subj.11,t_subj,True,False,True,t_subj.11,(),['subj_idx'],False,11,,,,,0.5049402525659727,0.02017512959177233,0.46226670371526296,0.49221142662365686,0.5062807261370621,0.5191141761781495,0.5408076206657672,0.0005362284232568543,0.5398708229100704
t_subj.12,t_subj,True,False,True,t_subj.12,(),['subj_idx'],False,12,,,,,0.3425400231203785,0.019756232565405686,0.2978600293238393,0.33079446615624414,0.3444670521173565,0.3566842521912825,0.3754449012023574,0.0005346307881015437,0.3423256823369408
t_subj.13,t_subj,True,False,True,t_subj.13,(),['subj_idx'],False,13,,,,,0.4569900014599808,0.015452319037869474,0.42494198065234373,0.4469277298824482,0.45850754986229614,0.4675975360668667,0.4845016615367985,0.0004074045616715916,0.4723345514357695
t_subj.14,t_subj,True,False,True,t_subj.14,(),['subj_idx'],False,14,,,,,0.514491382860485,0.018985158630859877,0.4728535174928413,0.5029696754392778,0.516462988609005,0.527910753281377,0.5469855723630529,0.0004102487886015893,0.5346097917094187
t_subj.15,t_subj,True,False,True,t_subj.15,(),['subj_idx'],False,15,,,,,0.8589412043974192,0.02559515253233236,0.803546554076676,0.8425329594655817,0.860933588566061,0.8778391060779995,0.9032052127584347,0.0006911385581128816,0.9084791306648281
t_subj.16,t_subj,True,False,True,t_subj.16,(),['subj_idx'],False,16,,,,,0.37526623476512094,0.01776542501412045,0.33551810349983924,0.36445382001445253,0.37690646057655464,0.38804689842911194,0.4049236986648751,0.0004118926365417994,0.3900980664107516
t_subj.17,t_subj,True,False,True,t_subj.17,(),['subj_idx'],False,17,,,,,0.38564150139812003,0.005219097282019173,0.373832734227706,0.3826000306216732,0.3860864187776406,0.3893044077332691,0.39454153231150135,0.00014120075558650077,0.357459437014725
t_subj.18,t_subj,True,False,True,t_subj.18,(),['subj_idx'],False,18,,,,,0.5107383254602244,0.025532631365935303,0.45474230423189427,0.4946398052641272,0.5129105881753073,0.5287015335169174,0.5553094797975892,0.0007790998351183159,0.5602475008576996
t_subj.19,t_subj,True,False,True,t_subj.19,(),['subj_idx'],False,19,,,,,0.19571698057424122,0.029210793698470114,0.13624424746535402,0.176319908640884,0.19691606934434805,0.21630693606011725,0.2510967369463687,0.0006570820043166367,0.2343321339859224
t_subj.20,t_subj,True,False,True,t_subj.20,(),['subj_idx'],False,20,,,,,0.3974634180038854,0.04242236471767109,0.2934711736743349,0.3743438004352756,0.4056116074210473,0.42831595353004853,0.4564893041788504,0.0013907890360586122,0.3346868454712008
t_subj.21,t_subj,True,False,True,t_subj.21,(),['subj_idx'],False,21,,,,,0.37161123327313966,0.01081476263694763,0.3473586201102353,0.36484098058064174,0.3727671197805695,0.379560262693815,0.389420626215213,0.00034132363204168563,0.3663800338515182
t_subj.22,t_subj,True,False,True,t_subj.22,(),['subj_idx'],False,22,,,,,0.37110799427011126,0.007956722302833584,0.3538779039914027,0.36619568954974296,0.3720092584215106,0.37681451870461125,0.3840074639441729,0.0002752265298358719,0.3303231262318617
t_subj.23,t_subj,True,False,True,t_subj.23,(),['subj_idx'],False,23,,,,,0.3665774264573895,0.009441114651587644,0.3456295660136992,0.36103709546613205,0.36767463797976174,0.37329714043941614,0.3822973071756684,0.00022675947208128546,0.3701168282114795
t_subj.24,t_subj,True,False,True,t_subj.24,(),['subj_idx'],False,24,,,,,0.37630033550159525,0.020633569730040036,0.32147402649861456,0.36723753827195876,0.380794082482388,0.3908625613156047,0.40264877475157945,0.0008471014979087454,0.31483417604228897
t_subj.25,t_subj,True,False,True,t_subj.25,(),['subj_idx'],False,25,,,,,0.39062159072260316,0.011604147556192865,0.36503489631254105,0.38338254726865706,0.39188247898786077,0.39879201903067985,0.40991962851763597,0.0003079538393047406,0.39363374584433775
t_subj.26,t_subj,True,False,True,t_subj.26,(),['subj_idx'],False,26,,,,,0.39299908113714177,0.023617827472371577,0.3425444124408908,0.3783769211313939,0.39500236669968863,0.4100725477527337,0.4337490797069696,0.0006041512606449423,0.43098587488954404
t_subj.27,t_subj,True,False,True,t_subj.27,(),['subj_idx'],False,27,,,,,0.5074929585677341,0.0377716017856361,0.42733979650470905,0.483070707049719,0.5090251420159339,0.534329071046556,0.5757250903941795,0.0011929594954998876,0.6241512057301597
t_subj.28,t_subj,True,False,True,t_subj.28,(),['subj_idx'],False,28,,,,,0.43286778335621845,0.028101177184057167,0.3726849373120043,0.4148274629738196,0.43458827920562,0.45275139551980903,0.4814236464430117,0.000840424970640384,0.4773945319677315
t_subj.29,t_subj,True,False,True,t_subj.29,(),['subj_idx'],False,29,,,,,0.35873684768431213,0.012427375921447948,0.3297640083375226,0.3511145513004216,0.3603566160890342,0.36759792833789956,0.3785061086398032,0.0004122077270231005,0.3035292948366335
t_subj.30,t_subj,True,False,True,t_subj.30,(),['subj_idx'],False,30,,,,,0.35409118442432963,0.01242888639752986,0.32628517931529716,0.3464156111951443,0.3553018073999395,0.3629341011624412,0.3748928811833746,0.0003488897145571772,0.3448702839925069
t_subj.31,t_subj,True,False,True,t_subj.31,(),['subj_idx'],False,31,,,,,0.3837572499685939,0.008529354860091782,0.3643438272614332,0.37875158572965995,0.38466656208565164,0.3898830721995751,0.3979428464997758,0.00020099339774272968,0.3770947612398773
t_subj.32,t_subj,True,False,True,t_subj.32,(),['subj_idx'],False,32,,,,,0.37762141041492453,0.008355854718900933,0.3591081821489033,0.37236593904307014,0.3785433465558604,0.38377289224833505,0.3913458605839378,0.0002480157321561811,0.35153344568085815
t_subj.33,t_subj,True,False,True,t_subj.33,(),['subj_idx'],False,33,,,,,0.3794203074351865,0.011301989770134208,0.35389046851682865,0.37268498378848947,0.3804042105924359,0.38771220476507506,0.3978291488026352,0.00030630319403285934,0.36070293742681603
t_subj.34,t_subj,True,False,True,t_subj.34,(),['subj_idx'],False,34,,,,,0.3721659868581522,0.022918856166511112,0.32092456901153726,0.3581196018937485,0.37386288928545774,0.3882105449355689,0.4126868678239804,0.0006189984815265005,0.3884168807153978
