"Timestamp","The alternate route can result in a loss of 2 min or a gain of 20 min","The alternate route can result in a loss of 5 min or a gain of 20 min","The alternate route can result in a loss of 10 min or a gain of 20 min","The alternate route can result in a loss of 15 min or a gain of 20 min","The alternate route can result in a loss of 20 min or a gain of 20 min","The alternate route can result in a loss of 25 min or a gain of 20 min","The alternate route can result in a loss of 30 min or a gain of 20 min","The alternate route can result in a loss of 35 min or a gain of 20 min","How important is it to be punctual according to you?","Please enter your age (in years)","Please enter your gender","Please enter your marital status","How frequently do you commute on a weekly basis?","How often do you use navigation apps (such as google maps) while commuting?","Do you consider alternate routes while using navigation apps? (choose what describes you best)"
"2020/03/26 3:46:38 PM GMT+5:30","Reject alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","25","Female","Single","1","2","I usually take the route suggested by the app"
"2020/03/26 3:48:22 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","24","Female","Single","2","3","I usually take the route suggested by the app"
"2020/03/26 4:04:18 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","25","Female","Single","1","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 4:06:42 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","22","Female","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 4:13:42 PM GMT+5:30","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","3","25","Female","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 4:22:34 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","26","Female","Single","2","2","I usually take the route suggested by the app"
"2020/03/26 4:34:07 PM GMT+5:30","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","23","Female","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 4:37:43 PM GMT+5:30","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Accept alternate route","Accept alternate route","5","22","Female","Single","3","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 5:00:59 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","26","Male","Single","2","1","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 5:48:27 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","25","Female","Single","3","1","I always take the default route"
"2020/03/26 5:53:06 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","22","Female","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 6:54:04 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","28","Female","Single","2","1","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 7:58:00 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","25 ","Female","Single","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 9:00:41 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","24","Male","Single","2","3","I usually take the route suggested by the app"
"2020/03/26 9:23:33 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","29","Female","Married / Living together","3","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/26 10:18:59 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","29","Female","Married / Living together","3","2","I usually take the route suggested by the app"
"2020/03/27 1:15:50 AM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","24","Female","Single","3","2","I usually take the route suggested by the app"
"2020/03/27 2:23:20 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","24","Female","Single","2","2","I usually take the route suggested by the app"
