,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a_subj.32,a_subj,True,False,True,a_subj.32,(),['subj_idx'],False,32,,,,,2.50117388468995,0.09907115073190223,2.3177551943596675,2.433388394136707,2.497787087094211,2.5661212142457552,2.7002551702755735,0.003398161884879532,2.1302507294471615
a_subj.36,a_subj,True,False,True,a_subj.36,(),['subj_idx'],False,36,,,,,2.930571258466747,0.10492634888802047,2.7347203647310434,2.8600343167035396,2.9267676597522874,2.9996360021860324,3.146977907025436,0.0033876545887815586,2.434056378000605
a_subj.38,a_subj,True,False,True,a_subj.38,(),['subj_idx'],False,38,,,,,2.2851845154042967,0.08604194483343601,2.1223844887547205,2.2265649022408494,2.2825805241420594,2.3438455915851835,2.4634538520280245,0.0026295232533057647,1.978611448971428
a_subj.40,a_subj,True,False,True,a_subj.40,(),['subj_idx'],False,40,,,,,2.3993113278945892,0.09594308898625441,2.216725638637829,2.3333864079543543,2.3976022994650585,2.4643223910336345,2.58577078526884,0.0032682425551417644,2.042475246794679
a_subj.44,a_subj,True,False,True,a_subj.44,(),['subj_idx'],False,44,,,,,2.239694817773424,0.09191994585532022,2.0718138267241417,2.1772580614527444,2.2346362932047326,2.297485547535513,2.436575466219261,0.003560746639264153,1.960428606953571
a_subj.46,a_subj,True,False,True,a_subj.46,(),['subj_idx'],False,46,,,,,2.172686769690308,0.08689391219842993,2.0098136363291794,2.1127728451411274,2.170636601527046,2.229686278987786,2.346808598160376,0.003207113920175099,1.922563241049572
a_subj.50,a_subj,True,False,True,a_subj.50,(),['subj_idx'],False,50,,,,,2.9740694737544584,0.11616719091649295,2.750280012694863,2.8948875697130947,2.9708955466666085,3.0488652245483294,3.2153603294436506,0.003868630490337848,2.4177083655685547
a_subj.52,a_subj,True,False,True,a_subj.52,(),['subj_idx'],False,52,,,,,2.7232272527741697,0.12109449833614142,2.4971152637101643,2.638821533357276,2.7192043396664047,2.801098642296888,2.9759852057143035,0.004917141927211531,2.270931086538545
a_subj.54,a_subj,True,False,True,a_subj.54,(),['subj_idx'],False,54,,,,,2.3006932971236616,0.0962881433868768,2.1198976363440822,2.2347301149907435,2.2973028353546523,2.363091262027633,2.4955616909038283,0.0033920664151340712,1.9925788635582484
a_subj.58,a_subj,True,False,True,a_subj.58,(),['subj_idx'],False,58,,,,,2.190143306355018,0.08765747687053566,2.0226340346842497,2.130702156601632,2.1878493183216023,2.247402539581917,2.3705382087538744,0.003100879125674459,1.8948991942658273
a_subj.60,a_subj,True,False,True,a_subj.60,(),['subj_idx'],False,60,,,,,2.5694589335210742,0.10851465886051107,2.367244419060256,2.496803376427301,2.566638491778316,2.6393505034500784,2.7867529935721853,0.003724167600020966,2.0846965881197805
a_subj.62,a_subj,True,False,True,a_subj.62,(),['subj_idx'],False,62,,,,,1.775085602526712,0.06933272869488416,1.6464091495616076,1.7274687073685198,1.7731988957510532,1.818354863029441,1.9221635102811214,0.0018923653609935766,1.6181944372024233
