,subj_idx,response,rt,gain,loss
288,3,1.0,1.248,34,-14
289,3,1.0,1.35,20,-7
290,3,1.0,1.766,18,-14
291,3,1.0,1.455,24,-13
292,3,1.0,1.456,34,-13
293,3,1.0,1.246,36,-10
294,3,1.0,1.0390000000000001,32,-13
295,3,1.0,1.4580000000000002,26,-16
296,3,1.0,1.246,30,-8
297,3,1.0,1.038,24,-17
298,3,1.0,0.833,34,-19
299,3,1.0,2.081,16,-16
300,3,1.0,1.3530000000000002,38,-20
301,3,1.0,1.249,22,-8
302,3,1.0,1.143,22,-19
303,3,1.0,2.0780000000000003,10,-7
304,3,1.0,1.4580000000000002,22,-10
305,3,1.0,0.8320000000000001,10,-20
306,3,1.0,1.04,28,-8
307,3,1.0,2.911,16,-17
308,3,1.0,1.146,26,-9
309,3,1.0,1.347,30,-10
310,3,1.0,1.143,36,-8
311,3,1.0,2.3930000000000002,36,-12
312,3,1.0,1.6640000000000001,14,-6
313,3,1.0,1.04,20,-8
314,3,1.0,1.348,16,-6
315,3,0.0,3.225,12,-19
316,3,1.0,3.641,32,-14
318,3,1.0,1.456,20,-5
319,3,1.0,1.4569999999999999,22,-11
320,3,1.0,1.351,34,-7
321,3,1.0,1.249,40,-7
322,3,1.0,1.247,38,-13
323,3,1.0,1.041,34,-20
324,3,1.0,3.742,18,-10
325,3,1.0,0.935,30,-11
326,3,1.0,1.456,26,-11
327,3,1.0,1.3519999999999999,40,-10
328,3,1.0,1.3519999999999999,20,-18
329,3,1.0,1.8730000000000002,14,-10
331,3,1.0,1.1440000000000001,24,-15
332,3,1.0,1.04,28,-16
333,3,1.0,1.663,30,-20
334,3,1.0,2.081,14,-18
335,3,1.0,1.454,16,-11
336,3,1.0,1.663,32,-7
337,3,0.0,2.076,12,-18
338,3,1.0,0.9359999999999999,38,-18
339,3,1.0,0.937,40,-8
340,3,1.0,1.871,20,-16
341,3,1.0,1.351,18,-8
342,3,1.0,1.246,40,-5
343,3,1.0,2.289,12,-15
344,3,1.0,2.802,30,-16
345,3,1.0,0.935,20,-11
346,3,0.0,2.1830000000000003,12,-14
347,3,1.0,1.665,40,-17
348,3,1.0,1.4580000000000002,26,-5
349,3,1.0,0.8320000000000001,18,-6
354,3,1.0,3.017,12,-6
355,3,0.0,1.4569999999999999,10,-12
356,3,0.0,2.186,16,-15
357,3,1.0,1.1420000000000001,16,-8
358,3,1.0,1.04,28,-18
359,3,1.0,0.833,34,-15
360,3,1.0,0.833,24,-11
361,3,1.0,1.4580000000000002,34,-12
362,3,1.0,1.768,24,-20
363,3,1.0,2.289,22,-16
364,3,1.0,1.354,20,-6
365,3,1.0,1.249,24,-16
367,3,0.0,1.8730000000000002,16,-20
368,3,0.0,1.9780000000000002,10,-19
369,3,1.0,2.289,18,-11
370,3,1.0,1.354,12,-8
371,3,1.0,0.52,40,-15
372,3,1.0,0.727,24,-6
373,3,1.0,3.225,30,-18
374,3,1.0,1.1440000000000001,36,-14
375,3,1.0,1.246,36,-19
376,3,1.0,1.3530000000000002,26,-18
377,3,1.0,0.937,30,-12
378,3,1.0,1.9769999999999999,18,-17
379,3,1.0,1.768,22,-18
380,3,1.0,0.938,36,-11
381,3,1.0,2.5989999999999998,32,-15
382,3,1.0,1.2429999999999999,32,-11
383,3,1.0,0.833,36,-9
384,3,1.0,3.428,16,-12
385,3,1.0,1.042,38,-5
386,3,1.0,0.831,40,-9
387,3,1.0,1.038,20,-14
388,3,1.0,0.937,40,-13
389,3,1.0,0.8320000000000001,10,-13
390,3,1.0,1.038,24,-19
391,3,1.0,1.04,34,-18
392,3,0.0,2.289,10,-5
393,3,0.0,1.6640000000000001,14,-20
394,3,1.0,1.354,22,-15
395,3,1.0,1.1440000000000001,38,-11
396,3,0.0,2.912,16,-14
397,3,1.0,1.0390000000000001,32,-16
